felt,sentido;
shout,gritar;
upset,molestar enfadar;
tidying,limpieza ordenando;
flat,departamento;
upon,sobre con tras;
spare,de repuesto libre extra;
despite,pese a / no obstante / aun cuando;
crowd,multitud publico gente;
squeeze,apretar exprimir sacar;
rather,mas bien bastante antes;
doer,hacedor autor ejecutor;
further,mas mayor adicional;
annoying,molesto irritante fastidioso;
behave,comportarse comportar actuar;
last but not least,ultimo pero no menos importante;
suffer,sufrir;
flaw,defecto imperfeccion;
major,gran grave;
hassle,engorro problema;
ownership,propiedad posesion control;
a tad,un poco un tanto;
thougt,pense pensado pensaba;
worth noting,cabe señalar vale la pena señalar;
fairly,bastante relativamente justamente;
hearken,escuchar prestar atencion;
nifty,ingeñoso elegante habil;
be aware,téner cuidado estar enterado darse cuenta;
pun,juego de palabras chiste;
relies,sé basa depénde confia;
hard-wired,cableado integrado conectado;
along,a lo largo por adelante;
stating,afirmando indicando declarando;
onto,sobre hacia tras;
though,aunque sin embargo si bien;
bare,desnudo simple;
outweighed,superado contrarestado sobrepasado;
messy,desordenado sucio complicado;
botheŕs,molesta preocupa moleste;
craft,artesania nave oficio;
leads,lleva conducé lidera;
suitably,adecuadamente debidamente;
suitable,adecuado apto conveniente;
through,a tráves por adelante;
taught,enseñado impartido aprendido;
hearken back,recuerdan remontan recuerda;
quick and dirty,rapido y sucio;
perhaps,quizas tal vez probablemente;
polite,educado;
worth,valor;
towards,hacia;
throwaway,descartable;
stack,pila;
tailor-made,hecho a medida;
leverage,ventaja aprovechar;
struggle,prueba lucha;
buggy,inform. lleno de fallas;
concealing,ocultar;
stick,pegar;
indeed,ciertamente de hecho de verdad;
wordy,verboso;
wind up,terminar acabar cerrar;
nuance,matiz;
mingled,mezclado;
amazed,sorprendido;
squashing,aplastando;
rule of thumb,regla general;
nastier,mas desagradáble repugnante o malo;
