seemingly,aparentemente supuestamente;
dip into, sumergirse;
caveat,advertencia;
popping up,apareciendo surgiendo;
shaped, forma formado;
sprinkling, pizca;
cursory, superficial somero rapido;
nod, guiño asentir asentimiento;
advice, consejo asesoramiento;
choke,ahogar atragantar axifiar;
piece, pieza;
hollow,hueco vacio vaciar;
pawns, peones;
rooks,torres;
bishops, alfiles;
knights, caballos;
overly,demasiado excesivamente extremadamente;
encompassing, que abarca abarcando;
void,vacio nulo;
stretch,estirar estiramiento;
pointless, inutil sin sentido;
hiding, escondiendo ocultando;
hash out; discutir a fondo;
disparaged,menospreciado despreciado;
argue,discutir argumentar;
murkier, mas turbio turbias;
misnomer, nombre inapropiado termino equivocado;
stage,etapa fase;
hype,publicidad exageracion;


