told, dije dijo dicho;
littered, llena plagado sembrado;
rinse, enjuagar aclarar;
snap back, contestar replicar fig: quicky return to original state;
gear, engranaje marcha cambio;
drum roll, redoble de tambor;
bit, un poco;
knack, truco;
clobber, machacar aplastar;
in disguise, disfrazado;
seems silly, parece una tonteria;
seem , parecer;
seemingly, aparentemente;
bulky, voluminoso grande;
remiss, negligente;
gist, quid meollo esencia clave;
somehow, de alguna manera de algun modo/forma;
overdue, atrasado vencido;
as such, por definicion / de por si / como tal;
sketch, bosquejo boceto esbozo;
sketch out, hacer un resumen de;
likely, probable (adj) probablemente (adv);
tie, amarrar atar;
sight, vista view;
insight, conocimiento entendimiento percepcion;
reach, llegar alcanzar;
reach for, estirarse para (move to take);
therefore, por lo tanto/ por eso / luego / asi;
mood, humor estado de animo / aspect of verb;
holding, de almacenamiento (for storage);
aware, consciente;
quest, mision cruzada expedicion;
commit, cometer comprometerse;
willpower, fuerza de voluntad;
missed, desaprovechado perdido incumplido fallado;

